"Points:0","Points:1","Points:2"
-8.2996,10.1485,0.25
-7.4899,11.1386,0.25
-7.085,12.6238,0.25
-6.6802,14.1089,0.25
-6.2753,15.594,0.25
-5.4656,16.5841,0.25
-4.6559,17.5742,0.25
-3.8462,18.5644,0.25
-2.6316,19.0594,0.25
-1.417,19.5545,0.25
-0.2024,19.0594,0.25
0.2024,17.5742,0.25
1.0121,16.5841,0.25
1.8219,15.594,0.25
2.6316,14.6039,0.25
3.0364,13.1188,0.25
3.4413,11.6337,0.25
3.4413,10.6436,0.25
3.8462,9.1584,0.25
3.8462,8.1683,0.25
4.6559,7.1782,0.25
4.251,5.69305,0.25
3.4413,4.70295,0.25
3.0364,3.2178,0.25
2.2267,2.2277,0.25
1.417,1.2376,0.25
-0.2024,1.2376,0.25
-1.417,1.73265,0.25
-2.6316,1.2376,0.25
-3.8462,1.73265,0.25
-4.6559,1.73265,0.25
-5.8704,2.2277,0.25
-6.2753,3.71285,0.25
-7.085,4.70295,0.25
-7.4899,6.1881,0.25
-8.2996,7.1782,0.25
-8.2996,9.1584,0.25
-8.2996,10.1485,0.25
-8.2996,10.1485,0.25
